Machine Module,SSA3075X-R,3.2.2.5.1R20
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
PreAmp State,OFF
Ref Level,+9.700000000E+00
Attenuation,29.000000,Auto
Sweep Time,2359.000000,Auto
Start Frequency,+0.000000000E+00
Stop Frequency,+1.000000000E+06
Average Type,Log Pwr
RBW,10000.000000,Manual
VBW,10000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Speed
Sweep Rule,Auto
Trigger Source,Free Run
Trigger Level,+0.000000000E+00
Trigger Edge,Rise
Marker,1,2,3,4,5,6,7,8
Marker Type,Off,Off,Off,Off,Off,Off,Off,Off
Marker on Trace,,,,,,,,
Marker Read Out,,,,,,,,
Marker X Axis,,,,,,,,
Marker Ampt,,,,,,,,
Trace Math,OFF
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A
Trace Type,Max Hold
Trace Detector,Pos Peak
Trace Data
0,19.34
1333,19.10
2667,18.41
4000,17.37
5333,16.11
6667,14.43
8000,12.35
9333,9.93
10667,7.75
12000,6.31
13333,6.30
14667,5.63
16000,5.63
17333,5.76
18667,5.72
20000,5.71
21333,5.74
22667,5.74
24000,5.77
25333,5.72
26667,5.79
28000,5.81
29333,5.81
30667,5.86
32000,5.83
33333,5.89
34667,5.92
36000,5.92
37333,5.89
38667,5.93
40000,5.98
41333,5.97
42667,5.96
44000,6.02
45333,5.99
46667,6.01
48000,6.06
49333,6.13
50667,6.10
52000,6.13
53333,6.14
54667,6.19
56000,6.12
57333,6.22
58667,6.18
60000,6.24
61333,6.25
62667,6.24
64000,6.32
65333,6.33
66667,6.33
68000,6.34
69333,6.36
70667,6.33
72000,6.33
73333,6.42
74667,6.39
76000,6.36
77333,6.44
78667,6.46
80000,6.45
81333,6.46
82667,6.52
84000,6.51
85333,6.44
86667,6.54
88000,6.49
89333,6.53
90667,6.53
92000,6.51
93333,6.53
94667,6.53
96000,6.58
97333,6.54
98667,6.57
100000,6.57
101333,6.58
102667,6.60
